5A8	Aleknagik / New Airport	US
EFIT	Kitee Airport	FI
EFIV	Ivalo Airport	FI
EFJO	Joensuu Airport	FI
EFJY	Jyväskylä Airport	FI
EFKA	Kauhava Airfield	FI
EFKE	Kemi-Tornio Airport	FI
EFKI	Kajaani Airport	FI
EFKJ	Kauhajoki Airfield	FI
EFKK	Kokkola-Pietarsaari Airport	FI
EFKS	Kuusamo Airport	FI
EFKT	Kittilä Airport	FI
EFKU	Kuopio Airport	FI
EFLP	Lappeenranta Airport	FI
EFMA	Mariehamn Airport	FI
EFMI	Mikkeli Airport	FI
EFOU	Oulu Airport	FI
EFPO	Pori Airport	FI
EFPR	Helsinki East-Redstone Airport	FI
EFRO	Rovaniemi Airport	FI
EFSA	Savonlinna Airport	FI
EFSI	Seinäjoki Airport	FI
EFSO	Sodankyla Airport	FI
EFTP	Tampere-Pirkkala Airport	FI
EFTU	Turku Airport	FI
EFUT	Utti Air Base	FI
EFVA	Vaasa Airport	FI
EFVR	Varkaus Airport	FI
EFYL	Ylivieska Airfield	FI
EG-0003	Bilbeis 2 Airfield	EG
EGAA	Belfast International Airport	GB
EGAB	Enniskillen/St Angelo Airport	GB
EGAC	George Best Belfast City Airport	GB
EGAE	City of Derry Airport	GB
EGBB	Birmingham International Airport	GB
EGBE	Coventry Airport	GB
EGBJ	Gloucestershire Airport	GB
EGBN	Nottingham Airport	GB
EGCC	Manchester Airport	GB
EGDC	Royal Marines Base Chivenor Airport	GB
EGDM	MoD Boscombe Down Airport	GB
EGDR	RNAS Culdrose	GB
EGDX	St. Athan Airport	GB
EGDY	RNAS Yeovilton	GB
EGEC	Campbeltown Airport	GB
EGED	Eday Airport	GB
EGFE	Haverfordwest Airport	GB
EGFF	Cardiff International Airport	GB
EGFH	Swansea Airport	GB
EGGD	Bristol Airport	GB
EGGP	Liverpool John Lennon Airport	GB
EGGW	London Luton Airport	GB
EGHH	Bournemouth Airport	GB
EGHI	Southampton Airport	GB
EGHL	Lasham Airfield	GB
EGHQ	Cornwall Airport Newquay	GB
EGJA	Alderney Airport	GG
EGJB	Guernsey Airport	GG
EGJJ	Jersey Airport	JE
EGKA	Shoreham Airport	GB
EGKB	London Biggin Hill Airport	GB
EGKK	London Gatwick Airport	GB
EGLC	London City Airport	GB
EGLF	Farnborough Airport	GB
EGLK	Blackbushe Airport	GB
EGLL	London Heathrow Airport	GB
EGMC	Southend Airport	GB
EGMD	Lydd Airport	GB
EGNC	Carlisle Airport	GB
EGNH	Blackpool International Airport	GB
EGNJ	Humberside Airport	GB
EGNL	Barrow Walney Island Airport	GB
EGNM	Leeds Bradford Airport	GB
EGNO	Warton Aerodrome	GB
EGNR	Hawarden Airport	GB
EGNS	Isle of Man Airport	IM
EGNT	Newcastle Airport	GB
EGNV	Teesside International Airport	GB
EGNX	East Midlands Airport	GB
EGOM	RAF Spadeadam	GB
EGOS	RAF Shawbury	GB
EGOV	Anglesey Airport	GB
EGPA	Kirkwall Airport	GB
EGPB	Sumburgh Airport	GB
EGPC	Wick Airport	GB
EGPD	Aberdeen Dyce Airport	GB
EGPE	Inverness Airport	GB
EGPF	Glasgow International Airport	GB
EGPH	Edinburgh Airport	GB
EGPI	Islay Airport	GB
EGPK	Glasgow Prestwick Airport	GB
EGPL	Benbecula Airport	GB
EGPN	Dundee Airport	GB
EGPO	Stornoway Airport	GB
EGPR	Barra Airport	GB
EGPU	Tiree Airport	GB
EGQL	Leuchars Station Airfield	GB
EGQS	RAF Lossiemouth	GB
EGSC	Cambridge Airport	GB
EGSH	Norwich Airport	GB
EGSS	London Stansted Airport	GB
EGTC	Cranfield Airport	GB
EGTE	Exeter International Airport	GB
EGTK	Oxford (Kidlington) Airport	GB
EGUB	RAF Benson	GB
EGUL	RAF Lakenheath	GB
EGUN	RAF Mildenhall	GB
EGUW	Wattisham Airfield	GB
EGUY	RAF Wyton	GB
EGVA	RAF Fairford	GB
EGVN	RAF Brize Norton	GB
EGVO	RAF Odiham	GB
EGWC	DCAE Cosford Air Base	GB
EGWU	RAF Northolt	GB
EGXC	RAF Coningsby	GB
EGXE	RAF Leeming Air Base	GB
EGXG	Leeds East Airport	GB
EGXH	RAF Honington	GB
EGXP	RAF Scampton	GB
EGXT	RAF Wittering	GB
EGXW	RAF Waddington	GB
EGXZ	RAF Topcliffe	GB
EGYD	RAF Cranwell	GB
EGYE	RAF Barkston Heath	GB
EGYM	RAF Marham	GB
EGYP	Mount Pleasant Airport	FK
EHAM	Amsterdam Airport Schiphol	NL
EHBD	Budel Airfield Kempen	NL
EHBK	Maastricht Aachen Airport	NL
EHDL	Deelen Air Base	NL
EHDP	De Peel Air Base	NL
EHEH	Eindhoven Airport	NL
EHGG	Eelde Airport	NL
EHGR	Gilze Rijen Air Base	NL
EHKD	De Kooy Airfield / Den Helder Naval Air Station	NL
EHLE	Lelystad Airport	NL
EHLW	Leeuwarden Air Base	NL
EHRD	Rotterdam The Hague Airport	NL
EHTW	Twente Airport	NL
EHU	Ezhou Huahu Airport	CN
EHVK	Volkel Air Base	NL
EHWO	Woensdrecht Air Base	NL
EICK	Cork Airport	IE
EICM	Galway Airport	IE
EIDL	Donegal Airport	IE
EIDW	Dublin Airport	IE
EIKN	Ireland West Knock Airport	IE
EIKY	Kerry Airport	IE
EIME	Casement Air Base	IE
EINN	Shannon Airport	IE
EISG	Sligo Airport	IE
EIWF	Waterford Airport	IE
EIWT	Weston Airfield	IE
EKAH	Aarhus Airport	DK
EKBI	Billund Airport	DK
EKCH	Copenhagen Kastrup Airport	DK
EKEB	Esbjerg Airport	DK
EKKA	Karup Airport	DK
EKMB	Lolland Falster Maribo Airport	DK
EKOD	Odense Airport	DK
EKRK	Copenhagen Roskilde Airport	DK
EKRN	Bornholm Airport	DK
EKSB	Sønderborg Airport	DK
EKSN	Sindal Airport	DK
EKSP	Skrydstrup Air Base	DK
EKSV	Skive Airport	DK
EKTS	Thisted Airport	DK
EKVD	Kolding Vamdrup Airfield	DK
EKVG	Vágar Airport	FO
EKVJ	Stauning Airport	DK
EKYT	Aalborg Airport	DK
ELLX	Luxembourg-Findel International Airport	LU
ENAL	Ålesund Airport, Vigra	NO
ENAN	Andøya Airport, Andenes	NO
ENAT	Alta Airport	NO
ENBN	Brønnøysund Airport, Brønnøy	NO
ENBO	Bodø Airport	NO
ENBR	Bergen Airport, Flesland	NO
ENBS	Båtsfjord Airport	NO
ENBV	Berlevåg Airport	NO
ENCN	Kristiansand Airport, Kjevik	NO
ENDU	Bardufoss Airport	NO
ENEN	Engeløy Airport	NO
ENEV	Harstad/Narvik Airport, Evenes	NO
ENFG	Fagernes Airport, Leirin	NO
ENFL	Florø Airport	NO
ENGM	Oslo Airport, Gardermoen	NO
ENHD	Haugesund Airport, Karmøy	NO
ENHF	Hammerfest Airport	NO
ENHV	Honningsvåg Airport, Valan	NO
ENKB	Kristiansund Airport, Kvernberget	NO
ENKR	Kirkenes Airport, Høybuktmoen	NO
ENLK	Leknes Airport	NO
ENMH	Mehamn Airport	NO
ENML	Molde Airport, Årø	NO
ENMS	Mosjøen Airport, Kjærstad	NO
ENNA	Lakselv Airport, Banak	NO
ENNO	Notodden Airport	NO
ENOL	Ørland Airport	NO
ENOV	Ørsta-Volda Airport, Hovden	NO
ENRA	Mo i Rana Airport, Røssvoll	NO
ENRM	Rørvik Airport, Ryum	NO
ENRO	Røros Airport	NO
ENRY	Moss Airport, Rygge	NO
ENSB	Svalbard Airport, Longyear	NO
ENSH	Svolvær Airport, Helle	NO
ENSK	Stokmarknes Airport, Skagen	NO
ENSN	Skien Airport	NO
ENSO	Stord Airport, Sørstokken	NO
ENSR	Sørkjosen Airport	NO
ENSS	Vardø Airport, Svartnes	NO
ENST	Sandnessjøen Airport, Stokka	NO
ENTC	Tromsø Airport, Langnes	NO
ENTO	Sandefjord Airport, Torp	NO
ENVA	Trondheim Airport, Værnes	NO
ENVD	Vadsø Airport	NO
ENY	Yan'an Nanniwan Airport	CN
ENZV	Stavanger Airport, Sola	NO
EPBY	Bydgoszcz Ignacy Jan Paderewski Airport	PL
EPCE	Cewice Air Base	PL
EPDE	Deblin Military Air Base	PL
EPGD	Gdańsk Lech Wałęsa Airport	PL
EPIR	Inowroclaw Military Air Base	PL
EPKK	Kraków John Paul II International Airport	PL
EPKS	Krzesiny Military Air Base	PL
EPKT	Katowice International Airport	PL
EPLB	Lublin Airport	PL
EPLK	Lask Military Air Base	PL
EPLL	Łódź Władysław Reymont Airport	PL
EPLS	Leszno-Strzyzewice Airport	PL
EPLY	Leczyca Military Air Base	PL
EPMB	22nd Air Base	PL
EPMI	Miroslawiec Military Air Base	PL
EPMM	Minsk Mazowiecki Military Air Base	PL
EPMO	Modlin Airport	PL
EPOK	Oksywie Military Air Base	PL
EPPO	Poznań-Ławica Airport	PL
EPPW	Powidz Military Air Base	PL
EPRA	Radom Airport	PL
EPRZ	Rzeszów-Jasionka Airport	PL
EPSC	Szczecin-Goleniów "Solidarność" Airport	PL
EPSN	Swidwin Military Air Base	PL
EPSY	Olsztyn-Mazury Airport	PL
EPTM	Tomaszow Mazowiecki Military Air Base	PL
EPWA	Warsaw Chopin Airport	PL
EPWR	Copernicus Wrocław Airport	PL
EPZG	Zielona Góra-Babimost Airport	PL
ES-0109	Folgueroles Airfield	ES
ESCF	Malmen Air Base	SE
ESDF	Ronneby Airport	SE
ESFR	Råda Air Base	SE
ESGG	Gothenburg-Landvetter Airport	SE
ESGJ	Jönköping Airport	SE
ESGP	Gothenburg City Airport	SE
ESGR	Skövde Airport	SE
ESGT	Trollhättan-Vänersborg Airport	SE
ESIB	Såtenäs Air Base	SE
ESKK	Karlskoga Airport	SE
ESKM	Mora Airport	SE
ESKN	Stockholm Skavsta Airport	SE
ESKS	Scandinavian Mountains Airport	SE
ESMK	Kristianstad Airport	SE
ESMQ	Kalmar Airport	SE
ESMS	Malmö Sturup Airport	SE
ESMT	Halmstad Airport	SE
ESMX	Växjö Kronoberg Airport	SE
ESND	Sveg Airport	SE
ESNG	Gällivare Airport	SE
ESNK	Kramfors-Sollefteå Höga Kusten Airport	SE
ESNL	Lycksele Airport	SE
ESNN	Sundsvall-Härnösand Airport	SE
ESNO	Örnsköldsvik Airport	SE
ESNQ	Kiruna Airport	SE
ESNS	Skellefteå Airport	SE
ESNU	Umeå Airport	SE
ESNV	Vilhelmina South Lapland Airport	SE
ESNX	Arvidsjaur Airport	SE
ESNY	Söderhamn Airport	SE
ESNZ	Åre Östersund Airport	SE
ESOE	Örebro Airport	SE
ESOH	Hagfors Airport	SE
ESOK	Karlstad Airport	SE
ESOW	Stockholm Västerås Airport	SE
ESPA	Luleå Airport	SE
ESSA	Stockholm-Arlanda Airport	SE
ESSB	Stockholm-Bromma Airport	SE
ESSD	Dala Airport	SE
ESSK	Gävle Sandviken Airport	SE
ESSL	Linköping City Airport	SE
ESSP	Norrköping Airport	SE
ESST	Torsby Airport	SE
ESSU	Eskilstuna Airport	SE
ESSV	Visby Airport	SE
ESTA	Ängelholm-Helsingborg Airport	SE
ESTL	Ljungbyhed Airport	SE
ESUD	Storuman Airport	SE
ESUP	Pajala Airport	SE
ESUT	Hemavan Airport	SE
ETAD	Spangdahlem Air Base	DE
ETAR	Ramstein Air Base	DE
ETHB	Bückeburg Air Base	DE
ETHC	Celle Army Airfield	DE
ETHF	Fritzlar Army Airfield	DE
ETHL	Laupheim Air Base	DE
ETHN	Niederstetten Army Air Base	DE
ETHS	Fassberg Air Base	DE
ETIC	Grafenwohr Army Air Field	DE
ETIH	Hohenfels Army Airfield	DE
ETMN	Nordholz Naval Airbase	DE
ETND	Diepholz Air Base	DE
ETNG	Geilenkirchen Air Base	DE
ETNH	Hohn Air Base	DE
ETNL	Rostock-Laage Airport	DE
ETNN	Nörvenich Air Base	DE
ETNS	Schleswig Air Base	DE
ETNT	Wittmundhafen Air Base	DE
ETNW	Wunstorf Air Base	DE
ETOU	Wiesbaden Army Airfield	DE
ETSB	Büchel Air Base	DE
ETSH	Holzdorf Air Base	DE
ETSI	Ingolstadt Manching Airport	DE
ETSL	Lechfeld Air Base	DE
ETSN	Neuburg AFB	DE
EVDA	Daugavpils International Airport	LV
EVKA	Jēkabpils Air Base	LV
EVLA	Liepāja International Airport	LV
EVRA	Riga International Airport	LV
EVTA	Jūrmala Airport	LV
EVVA	Ventspils International Airport	LV
EYKA	Kaunas International Airport	LT
EYKD	Kėdainiai Air Base	LT
EYPA	Palanga International Airport	LT
EYPP	Panevėžys Air Base	LT
EYSA	Šiauliai International Airport	LT
EYSB	Barysiai Airfield	LT
EYVI	Vilnius International Airport	LT
FAAB	Alexander Bay Airport	ZA
FAAG	Aggeneys Airport	ZA
FABE	Bisho Airport	ZA
FABL	Bram Fischer International Airport	ZA
FABR	Barberton Airport	ZA
FACT	Cape Town International Airport	ZA
FAEL	Ben Schoeman Airport	ZA
FAEO	Ermelo Airport	ZA
FAFB	Ficksburg Sentraoes Airport	ZA
FAGC	Grand Central Airport	ZA
FAGG	George Airport	ZA
FAGM	Rand Airport	ZA
FAHR	Harrismith Airport	ZA
FAKD	P C Pelser Airport	ZA
FAKM	Kimberley Airport	ZA
FAKN	Kruger Mpumalanga International Airport	ZA
FAKU	Johan Pienaar Airport	ZA
FAKZ	Kleinsee Airport	ZA
FALA	Lanseria International Airport	ZA
FALC	Lime Acres Finsch Mine Airport	ZA
FALE	King Shaka International Airport	ZA
FALW	Langebaanweg Airport	ZA
FALY	Ladysmith Airport	ZA
FAMD	Malamala Airport	ZA
FAMG	Margate Airport	ZA
FAMM	Mmabatho International Airport	ZA
FAMN	Riverside Airport	ZA
FAMS	Morningside Farm Airport	ZA
FAMU	Mkuze Airport	ZA
FANC	Newcastle Airport	ZA
FAOH	Oudtshoorn Airport	ZA
FAOR	OR Tambo International Airport	ZA
FAPE	Chief Dawid Stuurman International Airport	ZA
FAPG	Plettenberg Bay Airport	ZA
FAPH	Hendrik Van Eck Airport	ZA
FAPI	Pietersburg Municipal Airport	ZA
FAPJ	Port St Johns Airport	ZA
FAPM	Pietermaritzburg Airport	ZA
FAPP	Polokwane International Airport	ZA
FAPS	Potchefstroom Airport	ZA
FAQT	Queenstown Airport	ZA
FARB	Richards Bay Airport	ZA
FARG	Rustenburg Airport	ZA
FARS	Robertson Airport	ZA
FASB	Springbok Airport	ZA
FASC	Secunda Airport	ZA
FASD	Saldanha/Vredenburg Airport	ZA
FASS	Sishen Airport	ZA
FASZ	Skukuza Airport	ZA
FATZ	Tzaneen Airport	ZA
FAUL	Prince Mangosuthu Buthelezi Airport	ZA
FAUP	Pierre Van Ryneveld Airport	ZA
FAUT	K. D. Matanzima Airport	ZA
FAVB	Vryburg Airport	ZA
FAVG	Virginia Airport	ZA
FAVR	Vredendal Airport	ZA
FAVV	Vereeniging Airport	ZA
FAWB	Wonderboom Airport	ZA
FAWK	Waterkloof Air Force Base	ZA
FAYP	Ysterplaat Air Force Base	ZA
FBFT	P G Matante Intl	BW
FBJW	Jwaneng Airport	BW
FBKE	Kasane Airport	BW
FBMN	Maun Airport	BW
FBSK	Sir Seretse Khama International Airport	BW
FBSN	Sua Pan Airport	BW
FBSP	Selebi Phikwe Airport	BW
FCBB	Maya-Maya Airport	CG
FCOD	Oyo Ollombo Airport	CG
FCOO	Owando Airport	CG
FCOU	Ouesso Airport	CG
FCPL	Ngot Nzoungou Airport	CG
FCPP	Antonio Agostinho-Neto International Airport	CG
FDMS	Matsapha Airport	SZ
FDSK	King Mswati III International Airport	SZ
FEFF	Bangui M'Poko International Airport	CF
FEFT	Berbérati Airport	CF
FGBT	Bata Airport	GQ
FGSL	Malabo Airport	GQ
FHAW	RAF Ascension Island	SH
FIMP	Sir Seewoosagur Ramgoolam International Airport	MU
FIMR	Sir Charles Gaetan Duval Airport	MU
FJDG	Diego Garcia Naval Support Facility	IO
FKKC	Tiko Airport	CM
FKKD	Douala International Airport	CM
FKKL	Salak Airport	CM
FKKM	Foumban Nkounja Airport	CM
FKKN	N'Gaoundéré Airport	CM
FKKR	Garoua International Airport	CM
FKKU	Bafoussam Airport	CM
FKKV	Bamenda Airport	CM
FKKY	Yaoundé Airport	CM
FKYS	Yaoundé Nsimalen International Airport	CM
FLKE	Kasompe Airport	ZM
FLLC	Lusaka City Airport	ZM
FLLI	Harry Mwanga Nkumbula International Airport	ZM
FLLS	Kenneth Kaunda International Airport	ZM
FLMF	Mfuwe Airport	ZM
FLMG	Mongu Airport	ZM
FLND	Simon Mwansa Kapwepwe International Airport	ZM
FLSO	Southdowns Airport	ZM
FMCH	Prince Said Ibrahim International Airport	KM
FMCI	Mohéli Bandar Es Eslam Airport	KM
FMCV	Ouani Airport	KM
FMCZ	Dzaoudzi Pamandzi International Airport	YT
FMEE	Roland Garros Airport	RE
FMEP	Pierrefonds Airport	RE
FMMI	Ivato Airport	MG
FMMN	Miandrivazo Airport	MG
FMMS	Sainte Marie Airport	MG
FMMT	Toamasina Ambalamanasy Airport	MG
FMMV	Morondava Airport	MG
FMNA	Arrachart Airport	MG
FMNC	Mananara Nord Airport	MG
FMND	Andapa Airport	MG
FMNH	Antsirabe Airport	MG
FMNL	Analalava Airport	MG
FMNM	Amborovy Airport	MG
FMNN	Fascene Airport	MG
FMNQ	Besalampy Airport	MG
FMNR	Maroantsetra Airport	MG
FMNS	Sambava Airport	MG
FMNV	Vohemar Airport	MG
FMNW	Ambalabe Airport	MG
FMSD	Tôlanaro Airport	MG
FMSF	Fianarantsoa Airport	MG
FMSK	Manakara Airport	MG
FMSM	Mananjary Airport	MG
FMSR	Morombe Airport	MG
FMST	Toliara Airport	MG
FNBC	Mbanza Congo Airport	AO
FNBG	Benguela 17th of September Airport	AO
FNCA	Cabinda Airport	AO
FNCT	Catumbela Airport	AO
FNDU	Dundo Airport	AO
FNGI	Ngjiva Pereira Airport	AO
FNHU	Nova Lisboa Airport	AO
FNKU	Kuito Airport	AO
FNLU	Quatro de Fevereiro International Airport	AO
FNMA	Malanje Airport	AO
FNME	Menongue Airport	AO
FNMO	Welwitschia Mirabilis International Airport	AO
FNNG	Negage Airport	AO
FNPA	Porto Amboim Airport	AO
FNSA	Saurimo Airport	AO
FNSO	Soyo Airport	AO
FNSU	Sumbe Airport	AO
FNUB	Lubango Airport	AO
FNUE	Luena Airport	AO
FNUG	Uige Airport	AO
FNXA	Xangongo Airport	AO
FOGK	Koulamoutou Mabimbi Airport	GA
FOGM	Mouilla Ville Airport	GA
FOGO	Oyem Airport	GA
FOGQ	Okondja Airport	GA
FOGR	Lambarene Airport	GA
FOOB	Bitam Airport	GA
FOOG	Port Gentil Airport	GA
FOOH	Omboue Hospital Airport	GA
FOOK	Makokou Airport	GA
FOOL	Libreville Leon M'ba International Airport	GA
FOON	M'Vengue El Hadj Omar Bongo Ondimba International Airport	GA
FPPR	Principe Airport	ST
FPST	São Tomé International Airport	ST
FQBR	Beira Airport	MZ
FQCH	Chimoio Airport	MZ
FQIN	Inhambane Airport	MZ
FQLC	Lichinga Airport	MZ
FQMA	Maputo Airport	MZ
FQMD	Mueda Airport	MZ
FQMP	Mocímboa da Praia Airport	MZ
FQNP	Nampula Airport	MZ
FQPB	Pemba Airport	MZ
FQQL	Quelimane Airport	MZ
FQTT	Chingozi Airport	MZ
FQVL	Vilankulo Airport	MZ
FSIA	Seychelles International Airport	SC
FSPP	Praslin Airport	SC
FTFY	Ouadi Doum Air Base	TD
FTTC	Abeche Airport	TD
FTTD	Moundou Airport	TD
FTTJ	N'Djamena International Airport	TD
FTTY	Faya Largeau Airport	TD
FVBU	Joshua Mqabuko Nkomo International Airport	ZW
FVCZ	Buffalo Range Airport	ZW
FVFA	Victoria Falls International Airport	ZW
FVHA	Robert Gabriel Mugabe International Airport	ZW
FVKB	Kariba International Airport	ZW
FVMT	Mutoko Airport	ZW
FVMV	Masvingo International Airport	ZW
FVTL	Gweru - Thornhill Air Base	ZW
FVWN	Hwange National Park Airport	ZW
FWCL	Chileka International Airport	MW
FWDW	Dwangwa Airport	MW
FWKA	Karonga Airport	MW
FWKI	Lilongwe International Airport	MW
FWMG	Mangochi Airport	MW
FWUU	Mzuzu Airport	MW
FXMM	Moshoeshoe I International Airport	LS
FYAR	Arandis Airport	NA
FYGF	Grootfontein Airport	NA
FYKT	Keetmanshoop Airport	NA
FYLZ	Luderitz Airport	NA
FYML	Mariental Airport	NA
FYOA	Ondangwa Airport	NA
FYOG	Oranjemund Airport	NA
FYRU	Rundu Airport	NA
FYTM	Tsumeb Airport	NA
FYWB	Walvis Bay Airport	NA
FYWE	Eros Airport	NA
FYWH	Hosea Kutako International Airport	NA
FZAA	Ndjili International Airport	CD
FZAB	Ndolo Airport	CD
FZBO	Bandundu Airport	CD
FZCA	Kikwit Airport	CD
FZEA	Mbandaka Airport	CD
FZFD	Gbadolite Airport	CD
FZFK	Gemena Airport	CD
FZGA	Lisala Airport	CD
FZIC	Bangoka International Airport	CD
FZJH	Matari Airport	CD
FZKA	Bunia Airport	CD
FZKJ	Buta Zega Airport	CD
FZMA	Bukavu Kavumu Airport	CD
FZNA	Goma International Airport	CD
FZOA	Kindu Airport	CD
FZQA	Lubumbashi International Airport	CD
FZQM	Kolwezi Airport	CD
FZRF	Kalemie Airport	CD
FZSA	Kamina Air Base	CD
FZUA	Kananga Airport	CD
FZWA	Mbuji Mayi Airport	CD
GABS	Modibo Keita International Airport	ML
GAGO	Gao Airport	ML
GAKY	Kayes Dag Dag Airport	ML
GAMB	Mopti Ambodédjo International Airport	ML
GATB	Timbuktu Airport	ML
GBYD	Banjul International Airport	GM
GCFV	Fuerteventura Airport	ES
GCHI	El Hierro Airport	ES
GCLA	La Palma Airport	ES
GCLP	Gran Canaria Airport	ES
GCRR	César Manrique-Lanzarote Airport	ES
GCTS	Tenerife Sur Airport	ES
GCXO	Tenerife Norte-Ciudad de La Laguna Airport	ES
GE-0007	Ozurgeti Air Base	GE
GE-0010	Senaki Air Base	GE
GEML	Melilla Airport	ES
GFBO	Bo Airport	SL
GFKE	Kenema Airport	SL
GFLL	Lungi International Airport	SL
GFYE	Yengema Airport	SL
GGOV	Osvaldo Vieira International Airport	GW
GLMR	Spriggs Payne Airport	LR
GLRB	Roberts International Airport	LR
GMAD	Al Massira Airport	MA
GMAT	Tan Tan Airport	MA
GMFB	Bouarfa Airport	MA
GMFF	Fes Saïss International Airport	MA
GMFK	Moulay Ali Cherif Airport	MA
GMFM	Bassatine Airport	MA
GMFO	Oujda Angads Airport	MA
GMMA	Smara Airport	EH
GMME	Rabat-Salé Airport	MA
GMMH	Dakhla Airport	EH
GMMI	Essaouira-Mogador Airport	MA
GMML	Hassan I Airport	EH
GMMN	Mohammed V International Airport	MA
GMMW	Nador Al Aaroui International Airport	MA
GMMX	Menara Airport	MA
GMMY	Kenitra Air Base	MA
GMMZ	Ouarzazate Airport	MA
GMQ	Golog Maqên Airport	CN
GMTA	Cherif Al Idrissi Airport	MA
GMTN	Sania Ramel Airport	MA
GMTT	Tangier Ibn Battuta Airport	MA
GOBD	Blaise Diagne International Airport	SN
GOGG	Ziguinchor Airport	SN
GOGS	Cap Skirring Airport	SN
GOOK	Kaolack Airport	SN
GOOY	Léopold Sédar Senghor International Airport	SN
GOSM	Ouro Sogui Airport	SN
GOSS	Saint Louis Airport	SN
GOTB	Bakel Airport	SN
GOTK	Kédougou Airport	SN
GOTT	Tambacounda Airport	SN
GQNO	Nouakchott–Oumtounsy International Airport	MR
GQPA	Atar International Airport	MR
GQPP	Nouadhibou International Airport	MR
GUCY	Conakry International Airport	GN
GVAC	Amílcar Cabral International Airport	CV
GVBA	Rabil Airport	CV
GVMA	Maio Airport	CV
GVNP	Praia International Airport	CV
GVSN	Preguiça Airport	CV
GVSV	São Pedro Airport	CV
HAAB	Addis Ababa Bole International Airport	ET
HAAM	Arba Minch Airport	ET
HAAX	Axum Airport	ET
HABD	Bahir Dar Airport	ET
HADR	Aba Tenna Dejazmach Yilma International Airport	ET
HAGM	Gambela Airport	ET
HAGN	Gondar Airport	ET
HAGO	Gode Airport	ET
HAHM	Harar Meda Airport	ET
HAJJ	Wilwal International Airport	ET
HAJM	Jimma Airport	ET
HAKD	Kebri Dahar Airport	ET
HALA	Hawassa International Airport	ET
HAMK	Alula Aba Nega Airport	ET
HASO	Asosa Airport	ET
HBBA	Bujumbura Melchior Ndadaye International Airport	BI
HCMH	Egal International Airport	SO
HCMI	Berbera Airport	SO
HCMK	Kismayo Airport	SO
HCMM	Aden Adde International Airport	SO
HDAM	Djibouti-Ambouli Airport	DJ
HE16	Birma Air Base	EG
HE28	Gebel El Basur Air Base	EG
HE32	Al Mansurah Airbase	EG
HE35	Abu Suwayr Air Base	EG
HE36	Jafjafa Well Airfield	EG
HE37	Bilbeis Air Base	EG
HE42	Quesna Airport	EG
HEAL	El Alamein International Airport	EG
HEAR	El Arish International Airport	EG
HEAT	Asyut International Airport	EG
HEAZ	Almaza Air Force Base	EG
HEBA	Borj El Arab International Airport	EG
HEBL	Abu Simbel Airport	EG
HEBS	Bani Sweif Air Base	EG
HECA	Cairo International Airport	EG
HECP	Capital International Airport	EG
HECW	Cairo West Air Base	EG
HEGN	Hurghada International Airport	EG
HEGR	El Jora Airport	EG
HEGS	Jiyanklis Air Base	EG
HEIS	Ismailia Air Base	EG
HELX	Luxor International Airport	EG
HEMA	Marsa Alam International Airport	EG
HEMM	Marsa Matruh International Airport	EG
HEPS	Port Said International Airport	EG
HESC	Saint Catherine International Airport	EG
HESG	Suhaj Mubarak International Airport	EG
HESH	Sharm El Sheikh International Airport	EG
HESN	Aswan International Airport	EG
HESX	Sphinx International Airport	EG
HETB	Taba International Airport	EG
HHAS	Asmara International Airport	ER
HHMS	Massawa International Airport	ER
HHSB	Assab International Airport	ER
HIA	Huai'an Lianshui International Airport	CN
HJJJ	Juba International Airport	SS
HKAM	Amboseli Airport	KE
HKEL	Eldoret International Airport	KE
HKJK	Jomo Kenyatta International Airport	KE
HKKI	Kisumu Airport	KE
HKKT	Kitale Airport	KE
HKLK	Lokichoggio Airport	KE
HKLO	Lodwar Airport	KE
HKLU	Manda Airport	KE
HKML	Malindi Airport	KE
HKMO	Moi International Airport	KE
HKMS	Mara Serena Lodge Airstrip	KE
HKNW	Nairobi Wilson Airport	KE
HKNY	Nanyuki Airport	KE
HKRE	Moi Air Base	KE
HKWJ	Wajir Airport	KE
HL56	Matan al-Sarra Air Base	LY
HL68	Bombah Airport	LY
HL77	Okba Ibn Nafa Air Base	LY
HLGD	Sirt International Airport / Ghardabiya Airbase	LY
HLGT	Ghat Airport	LY
HLKF	Kufra Airport	LY
HLLB	Benina International Airport	LY
HLLM	Mitiga International Airport	LY
HLLQ	Al Abraq International Airport	LY
HLLS	Sabha Airport	LY
HLMB	Marsa al Brega Airport	LY
HLTD	Ghadames East Airport	LY
HRYG	Gisenyi Airport	RW
HRYR	Kigali International Airport	RW
HRZA	Kamembe Airport	RW
HSDN	Dongola Airport	SD
HSFA	Paloich Airport	SS
HSFS	El Fasher Airport	SD
HSKA	Kassala Airport	SD
HSMN	Merowe Airport	SD
HSNN	Nyala Airport	SD
HSOB	El-Obeid Airport	SD
HSPN	Port Sudan New International Airport	SD
HSSG	Sabera Geneina Airport	SD
HSSK	Khartoum International Airport	SD
HSSM	Malakal Airport	SS
HSWW	Wau Airport	SS
HTAR	Arusha Airport	TZ
HTDA	Julius Nyerere International Airport	TZ
HTDO	Dodoma Airport	TZ
HTGW	Songwe Airport	TZ
HTIR	Iringa Airport	TZ
HTKJ	Kilimanjaro International Airport	TZ
HTLM	Lake Manyara Airport	TZ
HTMT	Mtwara Airport	TZ
HTMW	Mwanza Airport	TZ
HTPE	Pemba Airport	TZ
HTTG	Tanga Airport	TZ
HTZA	Abeid Amani Karume International Airport	TZ
